#Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modif. de crèdit,Crèdits totals consig.,ORN,Pagaments fets
4U046,1550,12100,Complement de destinació,11653.6,,11653.6,11653.6,11653.6
4U049,1511,12100,Complement destí,4899.02,,4899.02,3581.14,3581.14
4U049,1550,12100,Complement de destinació.,,,,349.93,349.93
4U049,9208,12100,Complement de destinació,520.14,,520.14,,
4U050,1330,12100,Complement de destinació,15930.6,,15930.6,15721.14,15721.14
4U051,1320,12100,Complement de destinació,447969.45,,447969.45,390222.33,390222.33
4U052,1620,12100,Complement de destinació,6155.8,,6155.8,6155.8,6155.8
4U052,9200,12100,Complement destí,6155.8,,6155.8,13627.57,6002.54
4U054,1640,12100,COMPLEMENT DE DESTINACIO,8540.0,,8540.0,8540.0,8540.0
9U003,9125,12100,Complement de destinació,5948.81,,5948.81,4899.02,4899.02
9U058,9125,12100,Complement destí,11653.6,,11653.6,10821.2,10821.2
9U059,9240,12100,Complement de destinació.,,1431.74,1431.74,1271.42,1271.42
9U060,3370,12100,Complement de destinació.,,2147.6,2147.6,2352.68,2345.22
1U006,4321,12101,Complement específic.,,,,791.46,791.46
1U008,9121,12101,Complement específic,9016.0,,9016.0,10371.06,10371.06
1U009,9121,12101,Complements específic,9127.72,,9127.72,9685.86,9685.86
1U014,4330,12101,Complement Específic,12958.12,,12958.12,13629.69,13629.69
1U015,4330,12101,Complement específic,35035.28,,35035.28,30771.69,30771.69
1U016,4310,12101,complement específic,9728.6,,9728.6,10260.34,10260.34
1U055,4320,12101,Complement específic,9854.04,,9854.04,10548.65,10548.65
2U013,9209,12101,Complement específic.,,,,615.95,615.95
2U017,9204,12101,Complement específic,89213.88,,89213.88,78087.0,78087.0
2U018,9205,12101,Complement específic,42500.64,,42500.64,37322.36,37322.36
2U019,9250,12101,Complement específic,91264.83,,91264.83,86811.08,86811.08
2U020,9203,12101,Complement específic,15745.1,,15745.1,12867.18,12867.18
2U021,9207,12101,Complement específic,11011.14,,11011.14,11298.51,11298.51
2U022,9203,12101,Complement específic,81184.16,,81184.16,63236.01,63236.01
2U023,9203,12101,Complement específic,18864.16,,18864.16,19541.97,19541.97
2U024,9320,12101,Complement específic,23914.24,,23914.24,33221.63,33221.63
2U026,9320,12101,Complement específic,25664.24,,25664.24,33769.54,33769.54
2U027,9201,12101,Complement específic,54644.52,,54644.52,51274.27,51274.27
2U028,9201,12101,Complement específic,6469.4,,6469.4,5000.85,5000.85
2U029,9310,12101,Complement específic,48890.1,,48890.1,50270.58,50270.58
2U061,9204,12101,Complement específic,15746.22,,15746.22,16516.43,16516.43
2U067,9320,12101,Complement específic,18732.84,,18732.84,,
3U031,9206,12101,Complement especific,8623.3,,8623.3,8558.05,8558.05
3U032,2310,12101,Complement específic.,,,,3661.41,3661.41
3U032,3230,12101,Complement específic.,,,,5716.15,5716.15
3U033,2310,12101,Complement específic,39967.52,,39967.52,35715.5,34971.55
3U033,2330,12101,Complement específic,24373.61,,24373.61,21317.08,21317.08
3U036,3200,12101,Complement específic,33536.56,,33536.56,32203.51,32203.51
3U036,3230,12101,Complement específic.,,,,857.84,857.84
3U038,3221,12101,Complement específic,9304.4,,9304.4,6621.73,6621.73
3U039,3222,12101,Complement específic,5524.56,,5524.56,,
3U040,3410,12101,Complement específic.,,,,921.62,921.62
3U041,3320,12101,Complement específic,52020.22,,52020.22,55432.39,55432.39
3U041,3340,12101,Complement especific,14049.7,,14049.7,13558.25,13558.25
3U041,3350,12101,Complement específic.,,,,2750.6,2750.6
3U041,3380,12101,Complement específic.,,,,1003.55,1003.55
4U042,1340,12101,Complement específic,9434.04,,9434.04,9208.8,9208.8
4U042,9200,12101,Complement específic,12355.19,,12355.19,9829.96,9829.96
4U043,1510,12101,Complement específic,23249.38,,23249.38,24353.93,24353.93
4U044,1511,12101,Complement específic,20867.56,,20867.56,18530.87,18530.87
