#Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modif. de crèdit,Crèdits totals consig.,ORN,Pagaments fets
5000,1610,12101,Complement específic,10542.0,,10542.0,14707.85,14707.85
5110,1512,12101,Complement específic,28890.52,,28890.52,28890.52,28890.52
5200,1513,12101,Complement específic,21645.37,,21645.37,17186.07,17186.07
5200,1552,12101,Complement específic,14303.59,,14303.59,16077.18,16077.18
5300,1514,12101,Complement específic,23730.98,,23730.98,23567.9,23567.9
5310,1511,12101,Complement específic,33189.94,,33189.94,33050.73,33050.73
6210,4330,12101,Complement específic,37407.02,,37407.02,37407.02,37407.02
6300,4310,12101,Complement específic,16376.92,,16376.92,9821.12,9821.12
7120,3320,12101,Complement específic,47941.4,,47941.4,47159.76,47159.76
7120,3380,12101,Complement específic,12966.54,,12966.54,5940.29,5940.29
9101,9121,12101,Complement específic,18647.16,,18647.16,9421.3,9421.3
1100,9121,12103,Altres complements,6986.7,,6986.7,6687.59,6687.59
1200,1520,12103,Altres complements,6479.9,,6479.9,4675.23,4675.23
1400,3301,12103,Altres complements,4068.82,,4068.82,4068.82,4068.82
1600,4321,12103,Altres complements,10326.82,,10326.82,10247.26,10247.26
2000,9210,12103,Altres complements,611.24,,611.24,611.24,611.24
2110,9204,12103,Altres complements,12186.03,,12186.03,10458.6,10458.6
2115,9204,12103,Altres complements.,,,,22.33,22.33
2120,9205,12103,Altres complements,19239.5,,19239.5,13985.35,13985.35
2130,9250,12103,Altres complements,18089.4,,18089.4,17872.9,17872.9
2140,9207,12103,Altres complements,754.6,,754.6,754.6,754.6
2200,9203,12103,Altres complements,708.2,,708.2,,
2210,9203,12103,Altres complements,5287.94,,5287.94,4628.76,4628.76
2220,9203,12103,Altres complements,6655.32,,6655.32,4899.51,4639.3
2230,1514,12103,Altres complements,2500.4,,2500.4,2500.4,2500.4
2300,9320,12103,Altres complements,1438.78,,1438.78,1438.78,1438.78
2310,9320,12103,Altres complements,2702.28,,2702.28,2697.91,2697.91
2330,9320,12103,Altres complements,9887.64,,9887.64,6043.67,6043.67
2400,9201,12103,Altres complements,9973.46,,9973.46,5854.43,5854.43
2410,9203,12103,Altres complements,2115.82,,2115.82,1882.43,1882.43
2500,9310,12103,Altres complements,4788.84,,4788.84,4788.84,4788.84
2500,9320,12103,Altres complements,611.24,,611.24,584.31,584.31
2510,9310,12103,Altres complements,4801.44,,4801.44,4801.44,4801.44
3000,9210,12103,Altres complements,8245.02,,8245.02,7795.43,7795.43
3110,1320,12103,Altres complements,277233.91,,277233.91,257751.22,257751.22
3120,1551,12103,Altres complements,6832.0,,6832.0,6267.91,6267.91
3130,1620,12103,Altres complements,2081.1,,2081.1,1653.54,1653.54
3130,1640,12103,Altres complements,3504.62,,3504.62,3504.62,3504.62
3130,1720,12103,Altres complements,611.24,,611.24,611.24,611.24
3200,9208,12103,Altres complemets,3525.2,,3525.2,3525.2,3525.2
3220,1552,12103,Altres complements,5665.8,,5665.8,5409.19,5409.19
4110,2310,12103,Altres complements,586.74,,586.74,586.74,586.74
4110,2311,12103,Altres complements,4141.34,,4141.34,4141.34,4141.34
4110,2330,12103,Altres complements,5880.42,,5880.42,5526.49,5526.49
4310,3120,12103,Altres complements,2717.4,,2717.4,2717.4,2717.4
4310,3200,12103,Altres complements,5705.14,,5705.14,2950.21,2950.21
4312,3221,12103,Altres complements,2299.36,,2299.36,2299.36,2299.36
5000,1610,12103,Altres complements,1878.52,,1878.52,1856.45,1856.45
5110,1512,12103,Altres complements,4548.15,,4548.15,4548.15,4548.15
5200,1513,12103,Altres complements,5124.85,,5124.85,3352.24,3352.24
5200,1552,12103,Altres complements,407.43,,407.43,457.94,457.94
5300,1514,12103,Altres complements,21070.14,,21070.14,20856.24,20856.24
5310,1511,12103,Altres complements,6193.88,,6193.88,6168.63,6168.63
6210,4330,12103,Altres complements,10525.48,,10525.48,10525.48,10525.48
6300,4310,12103,Altres complements,959.38,,959.38,544.17,544.17
7120,3320,12103,Altres complements,10027.36,,10027.36,9854.32,9854.32
7120,3380,12103,Altres complements,578.93,,578.93,325.51,325.51
9101,9121,12103,Altres complements,1190.3,,1190.3,611.24,611.24
1000,9120,12104,ENDARRERIMENTS FUNCIONARIS,,,,307.38,307.38
2130,9250,12104,ENDARRERIMENTS FUNCIONARIS,,,,237.93,237.93
2400,9201,12104,ENDARRERIMENTS FUNCIONARIS,,,,43.58,43.58
3110,1320,12104,Altres complements,26507.64,,26507.64,231.2,231.2
4110,2311,12104,ENDARRERIMENTS FUNCIONARIS,,,,76.16,76.16
4310,3200,12104,ENDARRERIMENTS FUNCIONARIS,,,,25.6,25.6
5300,1514,12104,ENDARRERIMENTS FUNCIONARIS,,,,134.96,134.96
1300,9122,12106,Altres complements: liquidació vacances funcionaris,,,,,
3110,1320,12106,Altres complements,42292.2,,42292.2,2337.31,2337.31
4000,9120,12106,Altres complements: liquidació vacances funcionaris,,,,,
4110,2330,12106,Altres complements: liquidació vacances funcionaris,,,,1262.15,1262.15
6300,9120,12106,Altres complements: liquidació vacances funcionaris,,,,,
7000,9120,12106,Altres complements: liquidació vacances funcionaris,,,,,
1200,1520,12107,Altres complements: prestació IT funcionaris,,,,879.66,879.66
1600,4321,12107,Altres complements: prestació IT funcionaris,,,,775.22,775.22
2110,9204,12107,Altres complements: prestació IT funcionaris,,,,1604.14,1604.14
2120,9205,12107,Altres complements: prestació IT funcionaris,,,,21056.79,21056.79
2130,9250,12107,Altres complements: prestació IT funcionaris,,,,818.95,818.95
2210,9203,12107,Altres complements: prestació IT funcionaris,,,,1633.6,1633.6
2220,9203,12107,Altres complements: prestació IT funcionaris,,,,13340.33,13340.33
2400,9201,12107,Altres complements: prestació IT funcionaris,,,,1744.25,1744.25
2410,9203,12107,Altres complements: prestació IT funcionaris,,,,1315.16,1315.16
3000,9210,12107,Altres complements: prestació IT funcionaris,,,,2853.45,2853.45
3110,1320,12107,Altres complements: prestació IT funcionaris,,,,121697.3,121697.3
3120,1551,12107,Altres complements: prestació IT funcionaris,,,,2798.25,2798.25
3130,1620,12107,Altres complements: prestació IT funcionaris,,,,4328.87,4328.87
3220,1552,12107,Altres complements: prestació IT funcionaris,,,,2365.5,2365.5
4310,3200,12107,Altres complements: prestació IT funcionaris,,,,19396.04,19396.04
5200,1513,12107,Altres complements: prestació IT funcionaris,,,,1150.63,1150.63
5300,1514,12107,Altres complements: prestació IT funcionaris,,,,129.2,129.2
5310,1511,12107,Altres complements: prestació IT funcionaris,,,,90.12,90.12
7120,3320,12107,Altres complements: prestació IT funcionaris,,,,522.14,522.14
3110,1320,12108,Altres complements,43498.08,,43498.08,,
,,,Personal funcionari,7007615.68,,7007615.68,6198978.99,6180945.41
1100,9121,13000,Retribucions bàsiques,73211.57,,73211.57,67667.22,67667.22
1120,9240,13000,Retribucions bàsiques,13583.48,,13583.48,8072.36,8072.36
1300,9122,13000,Retribucions bàsiques,26558.99,,26558.99,26184.03,26184.03
1500,4320,13000,Retribucions bàsiques,52406.91,,52406.91,48563.88,48563.88
